name	set_code	set_name
Boltwing Marauder	pPRE	Prerelease Events
Crater Elemental	pPRE	Prerelease Events
Damnable Pact	pPRE	Prerelease Events
Deathbringer Regent	pPRE	Prerelease Events
Den Protector	pPRE	Prerelease Events
Dragonlord Atarka	pPRE	Prerelease Events
Dragonlord Dromoka	pPRE	Prerelease Events
Dragonlord Kolaghan	pPRE	Prerelease Events
Dragonlord Ojutai	pPRE	Prerelease Events
Dragonlord Silumgar	pPRE	Prerelease Events
Dromoka's Command	pPRE	Prerelease Events
Foe-Razer Regent	pPRE	Prerelease Events
Harbinger of the Hunt	pPRE	Prerelease Events
Hidden Dragonslayer	pPRE	Prerelease Events
Icefall Regent	pPRE	Prerelease Events
Ire Shaman	pPRE	Prerelease Events
Kolaghan's Command	pPRE	Prerelease Events
Living Lore	pPRE	Prerelease Events
Myth Realized	pPRE	Prerelease Events
Necromaster Dragon	pPRE	Prerelease Events
Ojutai's Command	pPRE	Prerelease Events
Pitiless Horde	pPRE	Prerelease Events
Pristine Skywise	pPRE	Prerelease Events
Profaner of the Dead	pPRE	Prerelease Events
Sidisi, Undead Vizier	pPRE	Prerelease Events
Silumgar Assassin	pPRE	Prerelease Events
Silumgar's Command	pPRE	Prerelease Events
Stratus Dancer	pPRE	Prerelease Events
Sunscorch Regent	pPRE	Prerelease Events
Surrak, the Hunt Caller	pPRE	Prerelease Events
Thunderbreak Regent	pPRE	Prerelease Events
Volcanic Vision	pPRE	Prerelease Events
Zurgo Bellstriker	pPRE	Prerelease Events
Abbot of Keral Keep	pPRE	Prerelease Events
